kind,code,num,class_name,prof,room_time
전선,PA00032,01,스토리보드 제작,김서윤,M401 / 월 / 12:00~14:50
전선,PA00033,01,실험애니메이션,호중훈,M401 / 화 / 15:00~17:50
전필,PA00035,01,게임제작,김대우,M401 / 수 / 09:00~11:50
전선,PA00039,01,영상에 활용하는 다이나믹 & 이펙트 효과,박은석,M401 / 금 / 09:00~11:50
전선,PA00041,01,3D캐릭터애니메이션2,박남기,6403 / 수 / 09:00~11:50
전선,PA00046,01,인턴십II,"박남기
이영아",1407 / 토 / 09:00~17:50
전선,PA00048,01,디지털음악 II,현종찬,6403 / 금 / 12:00~14:50
전선,PA00053,01,인턴십 세미나,"박남기
이영아",M201 / 화 / 18:00~18:50
전선,PA00054,01,인턴십 I,"박남기
이영아",1406 / 토 / 09:00~17:50
전선,PC00002,01,콘텐츠프로듀싱실무론,곽미서,7208 / 금 / 09:00~11:50
전선,PC00006,01,코딩으로배우는미디어아트,김대우,"6403 / 화 / 16:30~17:45
6403 / 목 / 16:30~17:45"
전선,PC00007,01,하드서페이스프랍모델링,김현근,6403 / 금 / 15:00~17:50
전필,PC00010,01,3D모델링,신미현,6403 / 목 / 12:00~14:50
전선,PC00011,01,디지털미디어발상과표현,이종승,6110 / 금 / 15:00~17:50
전필,PC00012,01,디지털이미지비평,박남기,M301 / 월 / 09:00~11:50
전선,PC00014,01,기초게임엔진,박남기,6403 / 금 / 09:00~11:50
전선,PC00015,01,뉴미디어와마케팅,김선구,7206 / 화 / 15:00~17:50
전필,PC00021,01,캡스톤디자인-콘텐츠제작프로젝트2,박남기,7417 / 목 / 09:00~11:50
전필,PC00021,02,캡스톤디자인-콘텐츠제작프로젝트2,이영아,6402 / 금 / 12:00~14:50
전선,PC00024,01,모바일게임UI디자인,박선영,6403 / 화 / 12:00~14:50
전선,PC00025,01,기초영상커뮤니케이션,곽미서,3402 / 수 / 09:00~11:50
전필,XA00001,01,데이터통신,정연식,"M402 / 화 / 13:30~14:45
M402 / 목 / 13:30~14:45"
전필,XA00002,01,신호 및 시스템,김학수,"6201 / 월 / 13:30~14:45
6201 / 수 / 13:30~14:45"
전필,XA00003,01,컴퓨터구조,김학수,M402 / 화 / 09:00~11:50
전선,XA00006,01,과정지도2,임충규,6201 / 월 / 18:25~19:15
전선,XA00017,01,Python 프로그래밍,임충규,"6201 / 월 / 15:00~16:15
6201 / 수 / 15:00~16:15"
전선,XA00019,01,모바일프로그래밍,정연식,"6201 / 화 / 15:00~16:15
6201 / 목 / 15:00~16:15"
전선,XA00022,01,네트워크 프로그래밍,정연식,6201 / 수 / 09:00~11:50
전선,XA00023,01,게임프로그래밍,임충규,"6109 / 월 / 13:30~14:45
6109 / 수 / 13:30~14:45"
전선,XA00025,01,디지털영상처리,김학수,"6109 / 월 / 15:00~16:15
6109 / 수 / 15:00~16:15"
전선,XA00031,01,졸업지도2,김학수,6201 / 수 / 18:25~19:15
전필,XA00034,01,컴퓨터공학캡스톤디자인,김학수,6109 / 월 / 09:00~11:50
전선,XA00035,01,AR/VR시스템개발,임충규,6109 / 목 / 09:00~11:50
전필,XB00001,03,운영체제,박경호,6202 / 금 / 12:00~14:50
"전선, 전필",XB00007,01,알고리즘,노은하,6202 / 금 / 15:00~17:50
전필,XB00001,01,운영체제,노은하,"6201 / 화 / 12:00~13:15
6201 / 목 / 12:00~13:15"
전필,XB00001,02,운영체제,노은하,"6201 / 화 / 13:30~14:45
6201 / 목 / 13:30~14:45"
전필,XB00002,01,자료구조,김명철,6206 / 화 / 09:00~11:50
전필,XB00002,02,자료구조,김명철,6206 / 목 / 09:00~11:50
전선,XB00004,01,컴퓨터구조,유상신,"M406 / 화 / 15:00~16:15
M406 / 목 / 15:00~16:15"
전선,XB00005,01,데이터베이스,문성현,6201 / 금 / 09:00~11:50
전선,XB00006,01,데이터통신,유상신,"M406 / 화 / 16:30~17:45
M406 / 목 / 16:30~17:45"
전선,XB00008,01,웹프로그래밍,김선형,"6202 / 화 / 15:00~16:15
6202 / 목 / 15:00~16:15"
전선,XB00008,02,웹프로그래밍,김선형,"6202 / 화 / 16:30~17:45
6202 / 목 / 16:30~17:45"
전선,XB00013,01,사물인터넷,유상신,6406 / 화 / 09:00~11:50
전선,XB00015,01,프론트엔드 개발,이승진,"6202 / 월 / 13:30~14:45
6202 / 수 / 13:30~14:45"
전선,XB00018,01,시스템분석 및 설계,문성현,6201 / 금 / 12:00~14:50
전선,XB00021,01,Python 프로그래밍,박경호,6202 / 금 / 09:00~11:50
전선,XB00024,01,네트워크 프로그래밍,이승진,"6202 / 월 / 12:00~13:15
6202 / 수 / 12:00~13:15"
전선,XB00026,01,서버구축및형상관리,이승진,6202 / 수 / 09:00~11:50
전선,XB00027,01,백엔드프레임워크,이승진,"6202 / 월 / 16:30~17:45
6202 / 수 / 16:30~17:45"
전선,XB00028,01,Java 프로젝트,문성현,6201 / 금 / 15:00~17:50
전선,XB00029,01,통계자료분석 및 실습,윤명호,M401 / 월 / 09:00~11:50
전선,XB00030,01,웹 개발 입문,이해신,6202 / 목 / 09:00~11:50
전선,XB00037,01,Java프로그래밍,김선형,"6202 / 화 / 13:30~14:45
6202 / 목 / 13:30~14:45"
전선,XB00038,01,프론트엔드프레임워크,이승진,"6202 / 월 / 15:00~16:15
6202 / 수 / 15:00~16:15"
전필,XC00028,01,졸업지도,김명철,6206 / 목 / 18:25~19:15
"전선, 전필",XE00001,01,데이터분석입문,이상윤,"6206 / 월 / 13:30~14:45
6206 / 수 / 13:30~14:45"
"전선, 전필",XE00002,01,머신러닝,홍성준,"6206 / 화 / 13:30~14:45
6206 / 목 / 13:30~14:45"
전선,XC00003,01,데이터통신,박정식,"6404 / 화 / 13:30~14:45
6404 / 목 / 13:30~14:45"
전선,XC00004,01,디지털회로실험,정인철,6406 / 수 / 09:00~11:50
전선,XC00005,01,사물인터넷,정인철,6406 / 월 / 09:00~11:50
전선,XC00006,01,컴퓨터구조,정인철,"3301 / 월 / 13:30~14:45
3301 / 수 / 13:30~14:45"
전선,XC00022,01,웹프로그래밍,박정식,6404 / 화 / 09:00~11:50
전선,XC00023,01,네트워크 프로그래밍,박정식,"6406 / 화 / 16:30~17:45
6406 / 목 / 16:30~17:45"
전선,XC00024,01,C++프로그래밍,이하규,"6406 / 월 / 16:30~17:45
6406 / 수 / 16:30~17:45"
전선,XC00025,01,임베디드시스템,이종현,6406 / 금 / 09:00~11:50
전선,XC00026,01,인터넷보안,이종현,6406 / 금 / 12:00~14:50
전선,XC00027,01,TCP/IP,박정식,"6404 / 화 / 15:00~16:15
6404 / 목 / 15:00~16:15"
전선,XC00031,01,정보보호개론,이종현,6406 / 금 / 15:00~17:50
전선,XE00008,01,쉽게배우는스타트업창업,조준영,6110 / 목 / 16:00~17:50
전선,XE00009,01,심층신경망,홍성준,6405 / 목 / 09:00~11:50
전선,XE00010,01,오픈소스SW개발,이상윤,"6405 / 월 / 16:30~17:45
6405 / 수 / 16:30~17:45"
전선,XE00011,01,인공지능문제해결,이상윤,6405 / 금 / 12:00~14:50
전선,XE00012,01,자료구조,홍성준,6405 / 화 / 09:00~11:50
