"이수
구분",과목코드,교과목명,교수명,강의실/시간
교필,AK00089,대학생활세미나 I(인문융합1반),김혜인,7304 / 금 / 10:00~11:50
교필,AK00089,대학생활세미나 I(인문융합2반),양기호,7307 / 금 / 10:00~11:50
교필,AK00089,대학생활세미나 I(인문융합3반),윤영도,7304 / 금 / 13:00~14:50
교필,AK00089,대학생활세미나 I(인문융합4반),이주엽,7307 / 금 / 13:00~14:50
교필,AK00089,대학생활세미나 I(사회융합1반),조미혜,7205 / 금 / 10:00~11:50
교필,AK00089,대학생활세미나 I(사회융합2반),윤석준,7206 / 금 / 10:00~11:50
교필,AK00089,대학생활세미나 I(사회융합3반),이상철,7205 / 금 / 13:00~14:50
교필,AK00089,대학생활세미나 I(사회융합4반),남일성,7206 / 금 / 13:00~14:50
교필,AK00089,대학생활세미나 I(미디어융합1반),김창남,7301 / 금 / 10:00~11:50
교필,AK00089,대학생활세미나 I(미디어융합2반),이원정,6402 / 금 / 10:00~11:50
교필,AK00089,대학생활세미나 I(미디어융합3반),김창남,7301 / 금 / 13:00~14:50
교필,AK00089,대학생활세미나 I(미디어융합4반),이원정,6402 / 금 / 13:00~14:50
교필,AK00089,대학생활세미나 I(경영1반),송재민,7204 / 금 / 10:00~11:50
교필,AK00089,대학생활세미나 I(경영2반),최우석,7303 / 금 / 13:00~14:50
교필,AK00089,대학생활세미나 I(미래융합1반),이상윤,7303 / 금 / 10:00~11:50
교필,AK00089,대학생활세미나 I(미래융합2반),송재민,7204 / 금 / 13:00~14:50
교필,AK00089,대학생활세미나 I(소프트웨어융합1반),박정식,6404 / 금 / 10:00~11:50
교필,AK00089,대학생활세미나 I(소프트웨어융합2반),정연식,6109 / 금 / 10:00~11:50
교필,AK00089,대학생활세미나 I(소프트웨어융합3반),김선형,6206 / 금 / 10:00~11:50
교필,AK00089,대학생활세미나 I(소프트웨어융합4반),박정식,6404 / 금 / 13:00~14:50
교필,AK00089,대학생활세미나 I(소프트웨어융합5반),정연식,6109 / 금 / 13:00~14:50
교필,AK00089,대학생활세미나 I(소프트웨어융합6반),김선형,6206 / 금 / 13:00~14:50
