"이수
구분",과목코드,교과목명,교수명,강의실/시간
교필,AC00013,말과글,오현화,1504 / 수 / 09:00~10:50
교필,AC00013,말과글,오현화,1504 / 수 / 11:00~12:50
교필,AC00013,말과글,곽승숙,1505 / 수 / 09:00~10:50
교필,AC00013,말과글,곽승숙,1505 / 수 / 11:00~12:50
교필,AC00013,말과글,오현화,1504 / 목 / 09:00~10:50
교필,AC00013,말과글,오현화,1504 / 목 / 11:00~12:50
교필,AC00013,말과글,성아사,1505 / 목 / 09:00~10:50
교필,AC00013,말과글,성아사,1505 / 목 / 11:00~12:50
교필,AC00007,인권과평화,강성현,7202 / 화 / 10:00~11:50
교필,AC00007,인권과평화,이남주,7208 / 화 / 10:00~11:50
교필,AC00007,인권과평화,조경희,7206 / 화 / 10:00~11:50
교필,AC00007,인권과평화,정윤수,7309 / 화 / 10:00~11:50
교필,AC00007,인권과평화,오영숙,7308 / 화 / 10:00~11:50
교필,AC00007,인권과평화,박경태,3402 / 화 / 10:00~11:50
교필,AC00016,과학기술과 에콜로지,"김병수
신익상",3402 / 금 / 10:00~11:50
교필,AC00016,과학기술과 에콜로지,"김병수
신익상",3402 / 금 / 13:00~14:50
교필,AC00016,과학기술과 에콜로지,김명진,7208 / 금 / 10:00~11:50
교필,AC00016,과학기술과 에콜로지,김명진,7208 / 금 / 13:00~14:50
교필,AC00016,과학기술과 에콜로지,"김병수
신익상",7309 / 금 / 10:00~11:50
교필,AC00016,과학기술과 에콜로지,"김병수
신익상",7309 / 금 / 13:00~14:50
교필,AC00015,데이터 활용 및 분석,유상신,M401 / 금 / 10:00~11:50
교필,AC00015,데이터 활용 및 분석,김학수,M401 / 금 / 13:00~14:50
교필,AC00015,데이터 활용 및 분석,윤명호,3302 / 금 / 10:00~11:50
교필,AC00015,데이터 활용 및 분석,윤명호,3302 / 금 / 13:00~14:50
교필,AC00015,데이터 활용 및 분석,이해신,B105 / 금 / 10:00~11:50
교필,AC00015,데이터 활용 및 분석,이해신,B105 / 금 / 13:00~14:50
