,kind,code,classname,prof,room,date1,date2,start,end,kwan
4,교필,AC00013,말과글,오현화,1504,목,,09:00,10:50,승연관
6,교필,AC00013,말과글,성아사,1505,목,,09:00,10:50,승연관
0,교필,AC00013,말과글,오현화,1504,수,,09:00,10:50,승연관
2,교필,AC00013,말과글,곽승숙,1505,수,,09:00,10:50,승연관
182,전선,MB00043,청년의일과삶,권자옥,1505,금,,09:00,11:50,승연관
283,전선,XB00037,Java프로그래밍,문성현,6202,금,,09:00,11:50,정보과학관
242,전선,PA00042,방송그래픽,박은석,6403,금,,09:00,11:50,정보과학관
287,전선,XC00015,모바일프로그래밍,이종현,6406,금,,09:00,11:50,정보과학관
165,전선,MA00022,프로그램개발과 평가,남일성,7104,금,,09:00,11:50,새천년관
189,전필,MC00019,경제학세미나Ⅱ,이상철,7202,금,,09:00,11:50,새천년관
213,전선,PB00023,미디어비평,김서중,7305,금,,09:00,11:50,새천년관
209,전선,ME00021,경영영어,조수미,M402,금,,09:00,11:50,미가엘관
34,교선,AE00104,대안경제와 생태사회,신익상,3301,목,,09:00,11:50,월당관
78,교선,AK00052,바이오기술의이해,김병수,3402,목,,09:00,11:50,월당관
33,교선,AE00019,국제질서의이해,이남주,6110,목,,09:00,11:50,정보과학관
59,교선,AK00050,"창업기초법률과
회계이해",정은재,M402,목,,09:00,11:50,미가엘관
264,전선,XA00039,임베디드리눅스,정연식,6201,목,,09:00,11:50,정보과학관
276,전선,XB00023,빅데이터,장진웅,6206,목,,09:00,11:50,정보과학관
236,전필,PA00021,디지털 라이팅과 랜더링,김대우,6403,목,,09:00,11:50,정보과학관
297,전선,XE00006,딥러닝프레임워크,미지정,6405,목,,09:00,11:50,정보과학관
170,전선,MB00020,계급젠더에스니시티,정연보,7202,목,,09:00,11:50,새천년관
220,전필,PB00032,매스컴영어,최진봉,7204,목,,09:00,11:50,새천년관
123,전선,LA00031,인공지능시대의종교와미디어의미래,"이주엽
최영묵",7205,목,,09:00,11:50,새천년관
214,전선,PB00024,언론의역사,김서중,7208,목,,09:00,11:50,새천년관
145,전선,LC00019,일본의시사쟁점,양기호,7302,목,,09:00,11:50,새천년관
158,전필,MA00006,사회복지정책론,정원오,7304,목,,09:00,11:50,새천년관
186,전선,MC00016,한국경제사,이상철,7305,목,,09:00,11:50,새천년관
136,전선,LB00024,환타지와문학,진영종,7308,목,,09:00,11:50,새천년관
111,전탐,VD00003,디지털기초디자인,박남기,M401,목,,09:00,11:50,미가엘관
164,전선,MA00021,가족복지론,정종운,M406,목,,09:00,11:50,미가엘관
176,전선,MB00027,공간과사회,조미혜,M407,목,,09:00,11:50,미가엘관
26,교선,AD00177,고전문학 톺아 읽기,신동옥,3301,수,,09:00,11:50,월당관
49,교선,AK00046,인간발달과심리,이현아,6110,수,,09:00,11:50,정보과학관
102,교선,AK00079,"대학생사회공헌
프로젝트1",김연아,7204,수,,09:00,11:50,새천년관
161,전선,MA00013,의료사회복지론,김예진,1503,수,,09:00,11:50,승연관
260,전필,XA00034,컴퓨터공학캡스톤디자인,임충규,6109,수,,09:00,11:50,정보과학관
257,전선,XA00020,논리회로설계,김학수,6201,수,,09:00,11:50,정보과학관
281,전선,XB00033,소프트웨어캡스톤디자인,이승진,6202,수,,09:00,11:50,정보과학관
275,전선,XB00021,Python 프로그래밍,홍은지,6206,수,,09:00,11:50,정보과학관
295,전선,XE00004,고급머신러닝,홍성준,6405,수,,09:00,11:50,정보과학관
291,전선,XC00034,사물인터넷기초,정인철,6406,수,,09:00,11:50,정보과학관
218,전선,PB00030,미디어산업과 경영,조은기,7202,수,,09:00,11:50,새천년관
215,전필,PB00025,저널리즘,김서중,7206,수,,09:00,11:50,새천년관
250,전필,PC00020,캡스톤디자인-콘텐츠제작프로젝트1,이원정,7417,수,,09:00,11:50,새천년관
178,전선,MB00034,젠더와역사,김상숙,M402,수,,09:00,11:50,미가엘관
198,전선,ME00005,인적자원관리,윤숙희,M407,수,,09:00,11:50,미가엘관
70,교선,AK00007,생활속수학,윤명호,3301,월,,09:00,11:50,월당관
89,교선,AD00180,인권영화와 영상제작,송아름,3402,월,,09:00,11:50,월당관
50,교선,AK00049,"한민족의역사
(조선왕조실록과 
역사이야기)",심용환,6110,월,,09:00,11:50,정보과학관
66,교선,AD00182,미술과 상상력 2,이은주,7202,월,,09:00,11:50,새천년관
32,교선,AE00017,여성평화생명,이숙진,7205,월,,09:00,11:50,새천년관
57,교선,AK00031,데이터로읽는미래사회,이재문,7207,월,,09:00,11:50,새천년관
262,전선,XA00037,Node.js프로그래밍,김학수,6201,월,,09:00,11:50,정보과학관
240,전선,PA00037,비주얼스토리텔링,김서윤,6403,월,,09:00,11:50,정보과학관
290,전선,XC00033,사물인터넷응용,정인철,6406,월,,09:00,11:50,정보과학관
196,전선,ME00002,글로벌비지니스의 이해,장승권,7204,월,,09:00,11:50,새천년관
229,전선,PD00004,미디어와정치그리고경제,최진봉,7206,월,,09:00,11:50,새천년관
138,전필,LB00028,영어다의어1:알맹이와껍데기,이원석,7208,월,,09:00,11:50,새천년관
154,전필,MA00002,지역사회복지론,남일성,7304,월,,09:00,11:50,새천년관
253,전선,PC00026,기초게임엔진2,박남기,B105,월,,09:00,11:50,일만관
71,교선,AK00027,다큐로보는현대기술,김병수,3301,화,,09:00,11:50,월당관
74,교선,AK00034,플랫폼노동의미래,유성규,3401,화,,09:00,11:50,월당관
41,교선,AD00049,한국현대사,한홍구,7205,화,,09:00,11:50,새천년관
77,교선,AK00043,"시나리오로읽는
미래사회",김필구,M407,화,,09:00,11:50,미가엘관
131,전선,LB00019,영어문장이해I,김성찬,3502,화,,09:00,11:50,월당관
263,전선,XA00038,크로스플랫폼모바일프로그래밍,정연식,6201,화,,09:00,11:50,정보과학관
274,전선,XB00020,Python 프로젝트,이상윤,6206,화,,09:00,11:50,정보과학관
247,전필,PC00010,3D모델링,이원정,6403,화,,09:00,11:50,정보과학관
293,전필,XC00036,정보통신공학캡스톤디자인,박정식,6404,화,,09:00,11:50,정보과학관
296,전선,XE00005,고급Python프로그래밍,홍성준,6405,화,,09:00,11:50,정보과학관
285,전선,XB00039,사물인터넷캡스톤디자인,유상신,6406,화,,09:00,11:50,정보과학관
127,전선,LA00041,종교로읽는전쟁과평화,김기석,7303,화,,09:00,11:50,새천년관
212,전선,PB00022,뉴미디어 이론과 정책,조은기,7304,화,,09:00,11:50,새천년관
