"이수
구분",과목코드,교과목명,교수명,강의실/시간
교선,AD00177,고전문학 톺아 읽기,신동옥,3301 / 수 / 09:00~11:50
교선,AE00014,한국사회와 노동문제,하종강,3402 / 목 / 15:00~17:50
교선,AE00038,정치경제학,김진업,7304 / 수 / 12:00~14:50
교선,AK00025,현대사회와법1,이기덕,3402 / 화 / 15:00~17:50
교선,AK00041,정치의대결,이광일,7304 / 목 / 12:00~14:50
교선,AD00021,군대와사회,김엘리,1505 / 수 / 15:00~17:50
교선,AE00017,여성평화생명,이숙진,7205 / 월 / 09:00~11:50
교선,AE00019,국제질서의이해,이남주,6110 / 목 / 09:00~11:50
교선,AE00104,대안경제와 생태사회,신익상,3301 / 목 / 09:00~11:50
교선,AF00055,빅뱅에서인간까지,김강배,7207 / 금 / 15:00~17:50
교선,AF00056,"기후위기와 
지속가능한 농업",김병수,7307 / 목 / 12:00~14:50
교선,AK00045,동물복지:인간과동물,최태규,6110 / 목 / 15:00~17:50
교선,AK00047,현대사회와스트레스,고려진,7207 / 목 / 15:00~17:50
교선,AK00083,숲의이해,김병수,7307 / 화 / 12:00~14:50
교선,AD00010,서양사의이해,한해정,3401 / 목 / 12:00~14:50
교선,AD00049,한국현대사,한홍구,7205 / 화 / 09:00~11:50
교선,AD00093,사이버 세계와 종교,김한나,3402 / 수 / 15:00~17:50
교선,AD00154,철학이란 무엇인가?,김시형,1505 / 화 / 12:00~14:50
교선,AD00184,"더불어숲 인문학
(신영복함께읽기)",김창남,7305 / 수 / 12:00~14:50
교선,AE00074,젠더로세상보기,김영선,7204 / 수 / 15:00~17:50
교선,AK00028,한국독립운동의요모조모,신주백,6110 / 월 / 12:00~14:50
교선,AK00029,"남과북,밥·꿈·칼의
100년전쟁",한홍구,7304 / 수 / 15:00~17:50
교선,AK00042,평화를쓰기,최성용,3401 / 화 / 15:00~17:50
교선,AK00046,인간발달과심리,이현아,6110 / 수 / 09:00~11:50
교선,AK00049,"한민족의역사
(조선왕조실록과 
역사이야기)",심용환,6110 / 월 / 09:00~11:50
교선,AE00073,팀창업입문,김활신,3301 / 목 / 15:00~17:50
교선,AH00020,진로와직업의 세계,한상진,7204 / 화 / 15:00~16:50
교선,AH00021,취업전략 및 역량강화,신지원,M407 / 화 / 15:00~16:50
