"이수
구분",과목코드,교과목명,교수명,강의실/시간
교선,AH00034,소셜벤처 기업가정신,최우진,7205 / 월 / 12:00~14:50
교선,AH00054,특허와 창의적사고,류선미,1504 / 화 / 10:00~11:50
교선,AK00026,미디어크리에이터,박경호,3302 / 목 / 12:00~14:50
교선,AK00031,데이터로읽는미래사회,이재문,7207 / 월 / 09:00~11:50
교선,AK00038,인류생존프로젝트,김현우,6110 / 수 / 12:00~14:50
교선,AK00050,"창업기초법률과
회계이해",정은재,M402 / 목 / 09:00~11:50
교선,AK00054,대학수학,윤명호,3301 / 수 / 12:00~14:50
교선,AK00085,"디자인씽킹(Design 
Thinking)이해와실습",염준규,7202 / 월 / 15:00~17:50
교선,AK00087,기업가정신CEO특강,이종인,1505 / 화 / 15:00~17:50
교선,AD00032,뉴미디어 시대의 미술,이민수,3401 / 화 / 12:00~14:50
교선,AD00123,책의사회사,전성원,3301 / 수 / 15:00~17:50
교선,AD00158,대중서사의 이해,오현화,1504 / 목 / 15:00~17:50
교선,AD00182,미술과 상상력 2,이은주,7202 / 월 / 09:00~11:50
교선,AE00001,영상시대의이해,권승태,6110 / 월 / 15:00~17:50
교선,AE00016,"영상과 문화로 보는 
러시아",엄순천,3402 / 월 / 15:00~17:50
교선,AJ00009,행복의 심리학,윤라미,6110 / 목 / 12:00~14:50
교선,AK00007,생활속수학,윤명호,3301 / 월 / 09:00~11:50
교선,AK00027,다큐로보는현대기술,김병수,3301 / 화 / 09:00~11:50
교선,AK00032,인공지능과인지과학,민수정,1505 / 월 / 15:00~17:50
교선,AK00033,디지털트렌드,김다혜,M402 / 월 / 12:00~14:50
교선,AK00034,플랫폼노동의미래,유성규,3401 / 화 / 09:00~11:50
교선,AK00035,공유경제란무엇인가,"강영선
박경주",1503 / 화 / 12:00~14:50
교선,AK00036,경제변혁과문명의미래,이웅,M402 / 화 / 15:00~17:50
교선,AK00043,"시나리오로읽는
미래사회",김필구,M407 / 화 / 09:00~11:50
교선,AK00052,바이오기술의이해,김병수,3402 / 목 / 09:00~11:50
교선,AK00053,20세기환경사,김명진,7208 / 금 / 15:00~17:50
교선,AK00088,"한국대중음악
(KoreanPop)의이해",신현준,3402 / 수 / 12:00~14:50
교선,AD00084,기초영문법I,김성찬,7202 / 수 / 15:00~17:50
교선,AE00012,아시아사회와 문화,박은홍,"7206 / 화 / 16:30~17:45
7206 / 목 / 16:30~17:45"
교선,AF00045,빅데이터의 이해,이재문,7205 / 화 / 12:00~14:50
교선,AD00003,기초일본어,"요코야
마나호
코","7206 / 월 / 13:30~14:45
7206 / 수 / 13:30~14:45"
교선,AD00004,실용일본어,"요코야
마나호
코","7206 / 화 / 13:30~14:45
7206 / 목 / 13:30~14:45"
교선,AD00011,교양중국어초급,장엽,"7206 / 월 / 15:00~16:15
7206 / 수 / 15:00~16:15"
교선,AD00103,Topics in Film,김혜인,7303 / 수 / 15:00~17:50
교선,AD00168,테드와 위키피디아,이원석,7205 / 월 / 15:00~17:50
교선,AD00180,인권영화와 영상제작,송아름,3402 / 월 / 09:00~11:50
교선,AK00082,다름과비판적사고,배성인,3301 / 화 / 15:00~17:50
교선,AD00027,대학합창Ⅰ,차피득,9301 / 수 / 15:00~17:50
교선,AD00164,생활과 발레,장소정,5C301 / 목 / 10:00~11:50
교선,AD00179,"실용음악의이해와감상
I(뮤지컬)",하지원,6110 / 화 / 15:00~16:50
교선,AD00185,20대의 심리,이주엽,7308 / 수 / 15:00~17:50
교선,AE00029,사회봉사II,김연아,
교선,AE00092,"필란트로피의 이해와 
실천",이선희,M406 / 금 / 15:00~17:50
교선,AE00101,창업의 정석,이상윤,7308 / 화 / 15:00~17:50
교선,AF00047,"1인 미디어의 이해와 
제작",연희승,M401 / 수 / 15:00~17:50
교선,AK00021,요가,정은송,5C301 / 금 / 10:00~10:50
교선,AK00021,요가,정은송,5C301 / 금 / 11:00~11:50
교선,AK00044,포스트코로나의세계,임종인,3301 / 월 / 12:00~14:50
교선,AK00079,"대학생사회공헌
프로젝트1",김연아,7204 / 수 / 09:00~11:50
교선,AK00081,나눔의인류학,홍서연,3402 / 월 / 12:00~14:50
